contract_id,customer_id,insurance_type,insurance_company,price,billing_cycle
92f2101f-6b2d-4a85-a221-d8eec7aa4cd2,1,Life,TK,167.35,quarterly
af6470e1-fb81-4ba7-b689-944df20db34f,1,Life,AXA,60.45,monthly
4cf7fe54-6d9e-440a-a4cd-698c276e0964,2,Liability,Zurich,30.86,monthly
2b4023f7-dd54-49b9-a305-796ec000a79b,4,Life,HUK,118.37,quarterly
aaf7e941-1c8e-47da-acd5-e9920a915ba4,5,Home,Zurich,194.16,quarterly
9f0899dc-da65-4ad2-9dfb-3fead3e2fc63,5,Liability,Allianz,54.57,yearly
8fd0d3fa-c7a1-47d7-b7eb-67f20787b410,6,Health,Allianz,184.75,quarterly
29116528-89e5-45f0-b5e6-eb79d4700108,6,Liability,AOK,75.82,quarterly
fec021b3-06ec-403e-9001-b4bb534e6129,7,Health,TK,47.09,quarterly
8128fa54-8e21-4bdd-b9f5-d828b22f0417,10,Home,AXA,154.73,yearly
12427a8e-a287-4aeb-8aa7-2ad473972807,10,Health,AXA,195.29,monthly
0168ea9c-6781-4384-9a01-db81cf69b22c,11,Car,Zurich,145.96,yearly
23bfdfdc-f2e2-4e31-989f-4e146f46f004,13,Life,AOK,169.57,yearly
d477fc15-d3a2-4017-b822-09b21f2238b1,14,Health,Allianz,116.56,yearly
ff832aa9-7753-4016-ae22-5fdff0a34575,15,Life,Debeka,102.4,quarterly
32bd6410-f6d5-43a2-a2f1-00ba62023be4,15,Life,Debeka,133.09,yearly
bb850b25-4b9d-4b10-904b-f716e1c7db71,17,Liability,Allianz,129.29,quarterly
13051c09-c49f-40a5-b9b9-a98990daeac3,17,Car,AOK,56.49,quarterly
60fb7715-d703-495e-a605-8ac866e4023a,18,Car,Allianz,153.04,monthly
8d262915-955f-4f59-9fda-f7a2c0e69db8,18,Home,AXA,44.68,yearly
fee7badf-bd7e-4aaa-81ef-ad545fa90a79,21,Health,AOK,72.81,quarterly
05722d65-d51e-40c4-804b-6262051105ad,21,Car,AOK,143.98,yearly
c19b731d-069f-4e43-8eb2-a1dab871997d,23,Health,Zurich,91.54,quarterly
67eb3a8e-6912-4b53-a7b3-227c4b97a1ba,24,Liability,HUK,72.77,monthly
fcaaaed5-f672-4254-aa14-c0c8ebe50575,24,Liability,Debeka,198.78,yearly
0e5b48fc-e218-4d8e-8c87-dbc59f0db4bb,26,Car,HUK,181.99,monthly
28b5adb7-b8b1-4a0d-97d9-999d70d16137,26,Life,HUK,81.02,quarterly
dcf40780-ee6d-4c3a-951e-5f24a672f8ce,27,Home,HUK,170.66,monthly
fa496de8-c12d-4959-85f7-fb52fdeeb5f7,27,Car,Debeka,154.08,quarterly
13733c81-2ea7-4566-9a97-491a605bb603,29,Car,AOK,50.19,quarterly
af215131-676c-467e-81ec-20b08b62e0ec,29,Car,Allianz,149.65,quarterly
4c47b6fa-62cd-4838-bfbb-cc6c84775d71,30,Life,Debeka,168.42,yearly
1d752fd1-77a0-4ffd-a2bc-b8a375fb90c1,31,Home,AXA,96.98,monthly
57ac48ed-9719-4de9-a35e-384018c576a8,32,Liability,AXA,141.1,monthly
8322aa57-63dc-49a9-9eb1-270a2812fda3,33,Car,TK,178.01,quarterly
eb2bbc72-3c31-4a5b-b720-aaa97b26074a,37,Home,AOK,34.9,quarterly
0c38beea-2511-4afd-851f-05d88de9a653,38,Liability,HUK,88.33,yearly
e5c3667b-3b8f-4c6e-986e-35b53bdc5b45,38,Liability,Allianz,135.72,yearly
92435954-211d-45f3-9e24-d183bdf1cdf9,39,Life,AOK,196.51,yearly
f1705c54-c249-4793-9575-1c627b0852fd,39,Health,TK,168.57,quarterly
4756e065-b946-4f1d-baf2-c1e3b2a4cb13,40,Home,Debeka,122.24,yearly
ec0edf0a-c25c-42c7-b3a7-624c17371712,42,Car,AXA,181.97,monthly
09137f20-481d-40ce-b828-d8edb6d03afc,42,Home,Allianz,121.88,monthly
13a7c6c7-16c7-4e52-960b-e3730629763b,43,Health,AOK,62.83,quarterly
26ba73ba-ba0f-4aeb-ace3-6b3770746bff,43,Liability,Debeka,27.55,quarterly
91f92ab2-8834-48ce-bf62-d8c3f91bcdd2,44,Liability,AOK,136.16,monthly
f409fe91-4a42-4de5-b1c8-d04844edc408,44,Home,AXA,82.54,yearly
0e44f98e-f994-49fa-9d02-773cd1f983d5,45,Car,Debeka,138.99,monthly
b3967ae0-32ac-4c8d-b93f-3a735786ea7b,46,Home,HUK,180.13,quarterly
ce587088-33f3-423e-8e50-0706f3ce6748,47,Car,Debeka,95.75,monthly
582a2abb-d20b-4657-9fe3-8bd1d2a342f6,48,Liability,Debeka,115.25,yearly
39e2334d-6925-4e7c-8ee3-a03e2ef9643e,49,Liability,AOK,111.27,quarterly
e1230c7a-d5c2-4f6f-b611-0431e3e8582f,49,Health,HUK,139.08,yearly
b8e9ff99-053f-4999-9f46-8310261f849b,51,Health,Debeka,197.98,monthly
fa014178-2b8f-4bc5-886d-59a7c9f80efb,53,Liability,HUK,131.13,yearly
dd8db88e-6e89-4ec4-b2f6-c4d4fcca3daf,53,Life,TK,122.86,yearly
94830020-accc-4a6f-8293-e87a656aedcf,54,Liability,Debeka,107.75,yearly
ab70f32c-1f5f-44d0-b7fa-9ba5463a6def,55,Life,Debeka,15.41,yearly
74225797-460c-45f4-bdcd-4ad9a09954f6,56,Health,TK,91.57,yearly
c75a15fb-66c9-4a4b-a612-2741fd1ad715,56,Car,AXA,69.09,quarterly
0c418b3a-48af-40d5-a9ef-59ad5ef20ad4,57,Life,AOK,92.91,quarterly
970efe33-9277-4445-9afb-0ffe68d4204c,57,Home,HUK,156.98,quarterly
dfd118bc-a9b3-462b-ab2b-49c354d89c10,60,Car,Zurich,88.16,monthly
6bd9c5cb-7795-459b-acd3-1e0d628660d7,60,Liability,AXA,47.48,monthly
e191e618-5717-437c-ac44-32e99f564649,61,Life,Zurich,181.85,monthly
5343fe7f-e47a-4a5f-b5ce-280c0ceaf0b5,61,Car,Zurich,78.83,quarterly
1374c351-6e80-473c-8735-368604d41b6e,62,Health,Debeka,55.27,quarterly
d16230f0-fe95-4fe2-bba8-fd849d9266d5,62,Car,Debeka,187.49,monthly
14c60b43-db8d-425a-9765-842b9695c039,64,Car,HUK,55.7,monthly
f5812bba-4e1a-44f9-9c2d-344310e1e514,64,Health,AOK,50.24,yearly
db1682c9-42aa-4322-8be6-6330e1ca84c0,67,Car,Debeka,23.27,monthly
b20c7418-3efd-4365-b0dc-285b3cc5fcc1,68,Home,HUK,161.07,monthly
269c4fbe-eebb-44c8-b00e-11d586abd115,70,Health,TK,171.67,quarterly
df668c0e-bb5b-48f1-8ebc-7d4900b7201d,70,Health,AXA,10.13,monthly
f68e8b27-c08b-4f31-ae36-f4b6d085e336,71,Health,Zurich,69.63,yearly
958e11bd-66e7-4aab-8463-036bd82c1158,72,Health,AXA,96.41,monthly
7adec4a8-84a0-4f2f-aaa8-9ab9b6a9add6,73,Health,HUK,182.95,quarterly
a910c5ca-6eac-4b51-a23c-1f727ea68361,73,Car,Allianz,68.93,yearly
c5bf364b-cb6f-47c5-aefd-2da6bbd0b2f6,74,Liability,TK,160.54,monthly
963a1a6d-9079-4dea-9d31-c8f2162a16d4,78,Life,Zurich,191.44,monthly
271b2a60-82f5-45a6-802a-d8d8f4f0c593,79,Life,AOK,79.69,yearly
c73d472e-ce64-4b6e-9591-95135d1b25db,79,Health,TK,152.27,quarterly
db4f23ce-e376-4e19-ad0a-1ec59776f088,81,Car,AOK,32.67,monthly
b02dd7c6-f062-414e-9280-e12632dc2ac7,82,Health,Allianz,126.68,monthly
d7727021-d207-46e4-a2f1-65fc5570c642,82,Life,HUK,65.91,quarterly
24d1c4fe-0a9c-4239-a486-ed27ccc9ace9,83,Life,Zurich,93.11,quarterly
c3dee51a-a333-436d-a742-96a754bea796,84,Life,HUK,55.83,quarterly
47f2eea4-04a8-410d-b347-f0201efa5e4b,84,Liability,AOK,48.32,yearly
df16efb8-eea6-4db6-b8ef-7c6d743098d7,85,Car,AXA,54.84,monthly
ea3db87a-7759-408d-8dbc-6593f8f2b946,85,Health,Zurich,147.26,monthly
22ab5a19-1786-4691-bb96-50fa0a113af5,87,Home,Allianz,138.84,quarterly
2a34d9df-ab82-4b21-b496-c7a3198f8b5d,87,Home,Allianz,112.57,quarterly
2846a3a6-6c59-420d-b4b8-929019f96714,88,Car,TK,158.39,quarterly
9165e153-fba9-48a2-8dcf-639d71909f38,89,Life,HUK,119.21,quarterly
334c5970-d45b-4243-ac1b-8260ce86e6cf,89,Liability,Zurich,41.58,quarterly
873c5ca0-c4c3-4c1d-b5c0-ae13aec753d1,90,Home,Allianz,71.99,quarterly
946e3810-2f52-41a3-ade5-a7d41394b488,90,Car,TK,12.1,yearly
143a214f-2648-4e7c-a608-f7109c8838f7,92,Car,Debeka,190.2,yearly
12044b9f-4cda-489e-81ab-5cf7de8b201b,92,Liability,Allianz,189.05,monthly
af97ea81-70ef-409a-a371-c715daabd89c,93,Life,Allianz,98.79,monthly
9c412e5f-2a5b-4311-8cbb-216d2a703e27,93,Car,Zurich,179.36,monthly
5de92a87-f854-4a32-956b-63dfa71356c8,94,Liability,AXA,116.22,monthly
f77d5d42-aa90-4dd8-b495-58164d009707,95,Car,Allianz,58.8,yearly
b96b3d43-456d-4c01-a6f9-7f346ebf1f4b,95,Car,Zurich,14.1,yearly
debec907-e20f-4647-a255-6a3951b04b5a,96,Home,AOK,27.54,monthly
94eac393-df45-41d2-ae26-b0a9e9ebc042,97,Health,AOK,116.66,monthly
db9683a0-0ba0-4331-aa89-c0d9e5c16c51,97,Home,Zurich,198.21,monthly
58372de4-fe98-4305-96bc-762cbe3bba35,98,Car,AOK,77.08,yearly
578ce1fa-12c4-4f46-afb2-d089c52bad4c,100,Liability,Debeka,92.96,quarterly
